OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
2210,1434757,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2A,0233,1579905780000
2211,1434759,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,5,5B,1614,1580183640000
2212,1434762,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5A,1522,1580076900000
2213,1434764,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3A,0776,1580183880000
2214,1434765,7399,28,SAC CITY CODE,9.04.050(A) DRINKING IN PUBLIC,3,3M,0734,1580173140000
2215,1434767,7399,69,SAC CITY CODE,12.72.090 SCC IN PK AFTER HRS,3,3M,0734,1580177820000
2216,1434770,5499,15,TRAFFIC,23103(A) RECKLESS ON HIGHWAY,3,3A,0712,1580178240000
2217,1434772,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,,,,1580184600000
2218,1434773,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,6,6E,1101,1580178300000
2219,1434774,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0738,1580078700000
2220,1434775,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,3,3B,0787,1579942800000
2221,1434778,5012,0,OBST JUDICIARY,1203.2 PC VIOL OF PROBATION,1,1C,0447,1580172900000
2222,1434780,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,4,4A,1202,1579076400000
2223,1434781,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6A,1014,1580056200000
2224,1434782,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5A,1396,1579907880000
2225,1434784,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1B,0440,1580106600000
2226,1434785,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,5,5B,1602,1580118000000
2227,1434789,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5C,1654,1580080200000
2228,1434792,5311,52,DISORDERLY,647(F) PC PUB INTOX-DETOX ONLY,4,4A,0927,1580191080000
2229,1434794,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,4,4C,1279,1580175000000
2230,1434795,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,4,4B,1344,1580191200000
2231,1434796,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,5,5C,1635,1580155200000
2232,1434797,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6A,1011,1580025600000
2233,1434798,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,3,3B,0718,1580108700000
2234,1434799,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,2,2B,0552,1579714200000
2235,1434800,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,2,2A,0216,1580095860000
2236,1434801,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,5,5B,1358,1580028000000
2237,1434802,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,4,4A,0909,1579909560000
2238,1434803,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1B,0353,1580140800000
2239,1434804,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6C,1443,1579658400000
2240,1434805,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,4,4A,0925,1579203000000
2241,1434807,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1A,0113,1580001000000
2242,1434808,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,5,5B,1618,1579952100000
2243,1434813,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1133,1578938400000
2244,1434815,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0337,1580064420000
2245,1434816,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1C,0438,1579926480000
2246,1434817,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,6,6C,1141,1580097480000
2247,1434818,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,2,2A,0233,1580082720000
2248,1434819,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,1,1A,0308,1580182200000
2249,1434820,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,4,4C,1227,1580128440000
2250,1434821,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0616,1579880640000
2251,1434823,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0622,1579914000000
2252,1434824,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6E,1115,1580032800000
2253,1434826,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,5,5B,1633,1580088000000
2254,1434827,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,5,5B,1603,1579999560000
2255,1434829,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0616,1579880640000
2256,1434830,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,4,4A,0913,1579781400000
2257,1434831,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2A,0517,1580150760000
2258,1434833,2399,23,LARCENY,487(A) GRAND THFT-RECYCL METAL,1,1A,0128,1578591900000
2259,1434834,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2A,0222,1580037300000
2260,1434835,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0726,1580060700000
2261,1434836,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0305,1580101200000
2262,1434839,2399,2,LARCENY,484 PC PETTY THEFT,2,2C,0619,1579742100000
2263,1434840,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0348,1580128200000
2264,1434841,2399,2,LARCENY,484 PC PETTY THEFT,2,2A,0213,1580112000000
2265,1434842,2999,35,VANDALISM,594(A)(2) VANDALISM-DAMAGE,3,3A,0715,1580043000000
2266,1434843,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,0752,1580146200000
2267,1434844,2310,0,LARCENY,1708 US THEFT OF MAIL,1,1C,0418,1580221800000
2268,1434845,2205,0,BURGLARY,459 PC BURG BUSINESS-NO FORCE,2,2C,0616,1580195640000
2269,1434846,5707,0,PRIVACY,602 PC TRESPASS,2,2B,0556,1580201280000
2270,1434847,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6E,0876,1580122800000
2271,1434848,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0568,1579667400000
2272,1434849,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6C,1403,1580172480000
2273,1434851,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5B,1618,1579952100000
2274,1434854,2099,9,ARSON,452(D)PC CAUSE FIRE OF PROPERT,3,3B,0737,1580188440000
2275,1434856,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,4,4A,1205,1580104800000
2276,1434859,2399,2,LARCENY,484 PC PETTY THEFT,6,6E,0888,1579926600000
2277,1434860,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,1,1B,0401,1580128200000
2278,1434861,2308,0,LARCENY,484 PC PETTY THEFT/INSIDE,1,1A,0123,1579710480000
2279,1434862,2099,5,ARSON,455 PC ARSON-ATTEMPT,2,2A,0517,1580187840000
2280,1434863,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,2,2A,0232,1580163420000
2281,1434864,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,1,1B,0434,1580156580000
2282,1434865,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0340,1580128200000
2283,1434867,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3A,0783,1578279060000
2284,1434868,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6E,0878,1580130960000
2285,1434869,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0746,1579946400000
2286,1434870,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0353,1580137200000
2287,1434871,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,0916,1579605000000
2288,1434872,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0443,1580172900000
2289,1434873,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6E,0876,1580166000000
2290,1434874,2099,3,ARSON,451(C) PC ARSON STRUC/LAND,2,2C,0604,1580228400000
2291,1434875,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0328,1578339000000
2292,1434879,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6D,0843,1579992900000
2293,1434881,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3A,0712,1579893300000
2294,1434882,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0103,1580040000000
2295,1434884,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,1,1A,0307,1579866600000
2296,1434886,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0727,1580133600000
2297,1434887,5707,0,PRIVACY,602 PC TRESPASS,1,1C,0447,1580062020000
2298,1434888,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1445,1579914000000
2299,1434889,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3A,0776,1580095500000
2300,1434890,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1269,1580096400000
2301,1434891,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0123,1579860000000
2302,1434892,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4B,1306,1580230800000
2303,1434893,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0435,1579787100000
2304,1434895,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0766,1580191200000
2305,1434897,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6D,0822,1580225400000
2306,1434900,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6B,1064,1578460020000
2307,1434902,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4B,1306,1580223600000
2308,1434904,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3B,0738,1580220000000
2309,1434905,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,5,5A,1365,1580025660000
2310,1434908,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6D,0843,1580198400000
2311,1434909,5404,21,TRAFFIC,23152(G) DUI DRUGS & ALCOHOL,4,4B,1354,1580194860000
2312,1434910,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,1,1C,0406,1580215560000
2313,1434911,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,3,3B,0788,1579993200000
2314,1434915,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6E,1115,1580213400000
2315,1434916,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6B,1005,1578093900000
2316,1434918,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,5,5B,1603,1580231280000
2317,1434921,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,4,4C,1279,1580157780000
2318,1434923,2602,0,FRAUD,FRAUD-SWINDLE,6,6C,1422,1578438000000
2319,1434924,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0236,1578452040000
2320,1434927,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6D,0861,1580248800000
2321,1434928,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,4,4A,0907,1580241480000
2322,1434929,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,4,4A,0908,1580153220000
2323,1434936,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,4,4B,0968,1579204800000
2324,1434939,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,2,2A,0232,1580245200000
2325,1434941,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,5,5B,1618,1578456180000
2326,1434942,2399,2,LARCENY,484 PC PETTY THEFT,1,1B,0435,1580241720000
2327,1434947,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6A,1015,1580166000000
2328,1434951,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6E,1102,1580245920000
2329,1434952,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,6,6D,0851,1580174400000
2330,1434953,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,6,6D,0851,1579797000000
2331,1434956,5311,5,PUBLIC PEACE,647(F) PC DIP - DISORDERLY,3,3A,0701,1580233620000
2332,1434958,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3M,0752,1580227080000
2333,1434959,7399,98,SAC CITY CODE,12.52.040(A) STOR PER PROP-PUB,6,6D,0825,1580232780000
2334,1434964,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6B,1064,1580187180000
2335,1434967,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1522,1580247840000
2336,1434968,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,4,4A,0918,1580239380000
2337,1434969,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,4,4C,1279,1580247180000
2338,1434972,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4B,0969,1579793400000
2339,1434973,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,5,5B,1369,1580241300000
2340,1434974,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,2,2B,0563,1580237940000
2341,1434977,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,2,2C,0603,1580241240000
2342,1434980,5499,13,TRAFFIC VIO,23109(A)ILLEGAL SPEED CONTEST,UI,UI,UI,1580168520000
2343,1434983,2501,0,FORGERY,470(D) FORGERY - CHECKS ETC,2,2C,0614,1580140380000
2344,1434988,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,2,2A,0509,1579342140000
2345,1434990,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,1,1C,0449,1579995060000
2346,1434991,7399,132,SAC CITY CODE,12.74.030 SCC-CITY HALL VIOL-M,3,3M,0734,1580271000000
2347,1434992,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,3,3B,0746,1580265420000
2348,1434994,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,1,1C,0406,1580065680000
2349,1434996,3599,60,NARCOTICS,11350(A) POSS CONT SUB/SUPER X,6,6B,1084,1580207280000
2350,1434997,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1A,0344,1580138340000
2351,1435003,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,0767,1580263200000
2352,1435007,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,4,4C,1265,1580276520000
2353,1435016,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,1,1B,0421,1580276100000
2354,1435017,2604,0,FRAUD,529 PC FALSE PERSONATION,6,6B,1084,1580274120000
2355,1435019,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,2,2B,0563,1580272320000
2356,1435020,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,4,4C,1301,1580220000000
2357,1435021,3599,44,NARCOTICS,11550(A)HS UNDER INFL NARCOTIC,3,3B,0718,1580270460000
2358,1435023,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1522,1580235960000
2359,1435024,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0336,1580267280000
2360,1435025,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,5,5C,1624,1579851900000
2361,1435026,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,3,3A,0785,1580000340000
2362,1435029,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,6,6D,0831,1580236200000
2363,1435032,2399,2,LARCENY,484 PC PETTY THEFT,4,4C,1289,1579631400000
2364,1435033,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1421,1580166000000
2365,1435034,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6E,0877,1580286060000
2366,1435035,5311,52,DISORDERLY,647(F) PC PUB INTOX-DETOX ONLY,6,6D,0841,1580267400000
2367,1435037,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3A,0725,1580253840000
2368,1435038,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4A,0955,1580263200000
2369,1435039,5212,57,WEAPON OFFENSE,21810 POSS METAL KNUCKLES-FEL,2,2B,0553,1580259480000
2370,1435040,5707,0,PRIVACY,602 PC TRESPASS,3,3M,0742,1579574940000
2371,1435041,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0502,1580230800000
2372,1435042,2399,31,LARCENY,487(D)(2) GRAND THFT GUN >$950,6,6C,1112,1580158800000
2373,1435044,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,2,2B,0552,1580255580000
2374,1435045,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2C,0603,1578733920000
2375,1435048,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5B,1603,1579906800000
2376,1435050,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,5,5C,1606,1580241600000
2377,1435051,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2B,0546,1580155200000
2378,1435052,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1A,0145,1580138100000
2379,1435056,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,3,3A,0721,1579812600000
2380,1435057,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,3,3B,0777,1580210820000
2381,1435058,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4C,1279,1579114080000
2382,1435059,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1445,1580189400000
2383,1435061,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,5,5C,1654,1578096000000
2384,1435062,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4B,1334,1579460400000
2385,1435063,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0526,1579748400000
2386,1435064,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,1,1A,0128,1579883400000
2387,1435065,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,3,3B,0736,1579893300000
2388,1435066,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,2,2B,0563,1580128920000
2389,1435070,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,1,1A,0110,1579731000000
2390,1435071,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,1,1A,0324,1579903200000
2391,1435072,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6A,1052,1580284560000
2392,1435073,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,4,4B,0969,1580172660000
2393,1435076,2399,2,LARCENY,484 PC PETTY THEFT,5,5A,1505,1578816000000
2394,1435078,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,2,2A,0516,1580186640000
2395,1435080,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0123,1580308200000
2396,1435083,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2B,0527,1578505860000
2397,1435086,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,6,6C,1448,1578512880000
2398,1435087,2999,38,VANDALISM,594(B)(1) VANDAL $400 OR MORE,6,6A,1061,1580256000000
2399,1435088,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6A,1061,1580259600000
2400,1435090,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,3,3M,0734,1578531960000
2401,1435092,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,1,1A,0301,1580251200000
2402,1435096,2602,0,FRAUD,FRAUD-SWINDLE,5,5C,1644,1579888800000
2403,1435103,1313,19,BATTERY,242 PC BATTERY CIVILIAN,1,1B,0440,1580282340000
2404,1435104,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,2,2A,0226,1579678500000
2405,1435105,2602,0,FRAUD,FRAUD-SWINDLE,4,4B,1326,1580227200000
2406,1435106,5212,91,WEAPON OFFENSE,30605 POSS ASSAULT WEAPON,2,2A,0512,1580224560000
2407,1435107,2999,33,VANDALISM,594(A)(2) VANDALISM-DAMAGE,4,4B,1351,1579846500000
2408,1435108,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6C,1422,1580197980000
2409,1435115,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1B,0444,1580315100000
2410,1435116,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,UI,UI,UI,1578543180000
2411,1435117,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,1,1A,0102,1579989600000
2412,1435118,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,1,1A,0123,1580333040000
2413,1435120,2399,2,LARCENY,484 PC PETTY THEFT,5,5B,1612,1580117400000
2414,1435121,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6D,0851,1579212000000
2415,1435122,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2B,0553,1580091000000
2416,1435124,2602,0,FRAUD,FRAUD-SWINDLE,5,5B,1614,1579881600000
2417,1435125,2205,3,BURGLARY,459.5 BURGLARY SHOPLIFT < $950,1,1A,0123,1580271960000
2418,1435127,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,3,3B,0738,1580265900000
2419,1435128,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,3,3B,0768,1580297400000
2420,1435129,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,2,2A,0232,1580324100000
2421,1435134,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0444,1580206260000
2422,1435135,2399,2,LARCENY,484 PC PETTY THEFT,6,6B,1088,1580320800000
2423,1435136,2604,0,FRAUD,529 PC FALSE PERSONATION,UI,UI,UI,1580210220000
2424,1435139,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2B,0531,1579688640000
2425,1435143,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1B,0422,1580330400000
2426,1435145,3560,0,NARCOTICS,11360(A)HS SALE/TRANSP MARIJ,2,2B,0563,1580278740000
2427,1435146,3599,60,NARCOTICS,11350(A) POSS CONT SUB/SUPER X,2,2B,0563,1580286720000
2428,1435149,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,4,4A,1203,1580301060000
2429,1435150,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,1,1A,0305,1579925700000
2430,1435151,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,6,6C,1114,1580281800000
2431,1435153,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6D,0853,1579657200000
2432,1435154,2999,02,VANDALISM,594(B)(1) VANDL $10000 OR M0RE,6,6D,0847,1580198400000
2433,1435155,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,1,1A,0324,1580242500000
2434,1435156,5707,5,TRESPASS,602(K)TRESPASS:INJURE PROPERTY,2,2C,0603,1580230800000
2435,1435157,5202,11,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,1,1B,0422,1580271480000
2436,1435158,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,1,1C,0405,1580315400000
2437,1435159,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1358,1580215320000
2438,1435161,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5A,1365,1580281800000
2439,1435163,7399,54,SAC CITY CODE,12.24.020 ERECT SIGN SIDEWALK,3,3A,0704,1579796580000
2440,1435169,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,5,5C,1606,1580275080000
2441,1435172,2399,2,LARCENY,484 PC PETTY THEFT,3,3M,0742,1580332800000
2442,1435173,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2C,0619,1580267400000
2443,1435174,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1296,1580280300000
2444,1435175,2399,2,LARCENY,484 PC PETTY THEFT,3,3B,0747,1579979100000
2445,1435176,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,1,1C,0449,1579697820000
2446,1435177,2399,2,LARCENY,484 PC PETTY THEFT,1,1C,0406,1580198400000
2447,1435178,2399,2,LARCENY,484 PC PETTY THEFT,1,1A,0340,1580235900000
2448,1435180,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,3,3M,0732,1579889340000
2449,1435181,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0302,1580011200000
2450,1435183,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2C,0615,1579986000000
2451,1435184,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1B,0441,1580189400000
2452,1435185,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5C,1637,1580202900000
2453,1435186,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6A,1013,1579898640000
2454,1435187,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6D,0847,1580289000000
2455,1435188,2204,0,BURGLARY,459 PC BURG RESIDENCE-NO FORCE,6,6D,0853,1580329800000
2456,1435189,2308,3,THEFT,488 PC PETTY THEFT,6,6C,1111,1580299200000
2457,1435191,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,2,2A,0503,1580147520000
2458,1435193,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,4,4B,0958,1580324400000
2459,1435195,5212,02,WEAPON OFFENSE,417(A)2) PC BRANDISH FIREARM,4,4B,1336,1580311380000
2460,1435196,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4C,1267,1579993200000
2461,1435197,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4C,1267,1579993200000
2462,1435198,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4C,1267,1580130000000
2463,1435204,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,5,5C,1606,1580331900000
2464,1435206,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,2,2B,0556,1580193000000
2465,1435207,5401,1,TRAFFIC,20002(B) HIT/RUN-RUNAWAY VEH,1,1A,0104,1580148300000
2466,1435208,2803,05,STOLEN PROP,496(A) REC STOLEN PROP-MISD,1,1C,0438,1580261460000
2467,1435209,5400,0,TRAFFIC,TRAFFIC ACCIDENT-INJURY,6,6D,0844,1580113200000
2468,1435210,2999,33,VANDALISM,594(A)(2) VANDALISM-DAMAGE,3,3A,0715,1580272440000
2469,1435212,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4C,1274,1580243820000
2470,1435228,7000,43,TOWED/STORED,TOWED/STORED VEHICLE,2,2A,0505,1578559740000
2471,1435236,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,4,4C,1262,1580359740000
2472,1435239,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6C,1443,1580341800000
2473,1435241,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,6,6D,0814,1579963800000
